Starting ID,Outgoing ID,Line Type
0,1,0
0,5,1
0,10,0
0,20,1
0,50,0
0,78,0
2,6,0
2,8,0
2,10,1
3,6,0
3,22,0
3,43,0
3,56,1
4,34,0
4,60,0
6,11,0
6,26,0
6,30,0
7,55,1
7,76,0
10,22,0
13,15,0
14,37,1
14,40,0
16,32,0
16,64,0
20,22,0
20,40,0
22,31,0
23,40,0
25,56,0
30,77,0
34,50,0
34,61,1
35,42,0
35,47,1
45,63,1
50,62,0
52,55,0
53,55,0
55,60,0
57,64,1
60,66,0
63,67,0
66,70,0
70,77,0
