x,y,z,name
894,12,55,people
698,8,34,land
437,20,80,God
350,7,45,king
318,18,70,Lord
278,15,60,Nephi
261,7,33,words
191,6,24,city
188,14,32,Moroni
164,12,42,men
160,14,30,Ammon
130,11,24,power
