x1,y1,z1,name1,x2,y2,z2,name2,x3,y3,z3,name3,x4,y4,z4,name4
894,12,55,people,1247,80,76,behold,171,22,45,man,244,50,64,Alma
698,8,34,land,830,50,55,it came to pass,,,,,,,,
437,20,80,God,397,34,66,come again,,,,,,,,
350,7,45,king,,,,,,,,,,,,
318,18,70,Lord,,,,,,,,,,,,
278,15,60,Nephi,,,,,,,,,,,,
261,7,33,words,,,,,,,,,,,,
191,6,24,city,,,,,,,,,,,,
188,14,32,Moroni,,,,,,,,,,,,
164,12,42,men,,,,,,,,,,,,
160,14,30,Ammon,,,,,,,,,,,,
130,11,24,power,,,,,,,,,,,,
